landscape_id,split,stratum,horizon,region,epsilon_count,epsilon_minimum,epsilon_maximum,endpoint_residual_sign,endpoint_quadratic_scale_minimum,endpoint_quadratic_scale_median,endpoint_quadratic_scale_maximum,endpoint_quadratic_scale_relative_range,endpoint_relative_residual_median,max_path_residual_sign,max_path_quadratic_scale_minimum,max_path_quadratic_scale_median,max_path_quadratic_scale_maximum,max_path_quadratic_scale_relative_range,max_path_relative_residual_median
S02,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-18.722120638081652,-18.701836973235338,-18.69601308331298,0.0013959887900870228,-0.0006903256392729405,negative,-18.722120638081652,-18.701836973235338,-18.69601308331298,0.0013959887900870228,-0.0006903256392729405
S02,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-18.968875812422347,-18.874044857032835,-18.779213901643327,0.010048821660416245,-0.015135619385334557,negative,-18.968875812422347,-18.874044857032835,-18.779213901643327,0.010048821660416245,-0.015135619385334557
S02,source,regular-sensitivity,50,stress,2,0.03,0.1,negative,-19.933632424635334,-19.677258063674692,-19.420883702714054,0.026057935524454134,-0.1584756777209813,negative,-19.933632424635334,-19.677258063674692,-19.420883702714054,0.026057935524454134,-0.1584756777209813
S03,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,2.42861286636753e-11,1.043544591017298e-10,6.517259725718422e-10,6.012582972582973,3.299170038403051e-14,numerical-zero,2.42861286636753e-11,1.043544591017298e-10,6.517259725718422e-10,6.012582972582973,3.299170038403051e-14
S03,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,-2.0816681711721685e-13,8.866364432770345e-14,3.854941057726238e-13,0.29683046144492037,-6.284133406482002e-16,numerical-zero,-2.0816681711721685e-13,8.866364432770345e-14,3.854941057726238e-13,0.29683046144492037,-6.284133406482002e-16
S03,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,-2.312964634635743e-14,-1.295260195396016e-14,-2.775557561562891e-15,0.010177044392397269,-6.598340076806101e-16,numerical-zero,-2.312964634635743e-14,-1.295260195396016e-14,-2.775557561562891e-15,0.010177044392397269,-6.598340076806101e-16
S03,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-7.239215298943851,-7.23781202994919,-7.232902655369099,0.0008721756725141625,-0.000589954926492849,negative,-7.239215298943851,-7.23781202994919,-7.232902655369099,0.0008721756725141625,-0.000589954926492849
S03,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-7.218893087276201,-7.194476645962218,-7.170060204648235,0.0067875517610266915,-0.012682605324168077,negative,-7.218893087276201,-7.194476645962218,-7.170060204648235,0.0067875517610266915,-0.012682605324168077
S03,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-7.032252160910804,-6.800985010970638,-6.569717861030471,0.06800989843886168,-0.11790973429069394,negative,-7.032252160910804,-6.800985010970638,-6.569717861030471,0.06800989843886168,-0.11790973429069394
S03,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,negative,-130.54166719435324,-130.40021750403415,-129.9067013081842,0.004869362170729382,-0.002663619254298022,negative,-130.54166719435324,-130.40021750403415,-129.9067013081842,0.004869362170729382,-0.002663619254298022
S03,source,regular-sensitivity,20,extended-local,2,0.003,0.01,negative,-128.50992762215466,-126.14147927861282,-123.77303093507096,0.037552252551447896,-0.0552625207626601,negative,-128.50992762215466,-126.14147927861282,-123.77303093507096,0.037552252551447896,-0.0552625207626601
S03,source,regular-sensitivity,20,stress,2,0.03,0.1,negative,-111.46300373787938,-95.66119171343965,-79.85937968899992,0.33037037781789824,-0.38571444130708976,negative,-111.46300373787938,-95.66119171343965,-79.85937968899992,0.33037037781789824,-0.38571444130708976
S03,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-749.9912525835498,-748.1360303928823,-741.6837170464361,0.01110431151504765,-0.006201307402151425,negative,-749.9912525835498,-748.1360303928823,-741.6837170464361,0.01110431151504765,-0.006201307402151425
S03,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-723.5986515914641,-693.9605717303647,-664.3224918692653,0.08541718670614952,-0.12176585243159715,negative,-723.5986515914641,-693.9605717303647,-664.3224918692653,0.08541718670614952,-0.12176585243159715
S03,source,regular-sensitivity,50,stress,2,0.03,0.1,negative,-526.595314507395,-402.9267258547486,-279.25813720210226,0.6138515055823214,-0.6040433089101005,negative,-526.595314507395,-402.9267258547486,-279.25813720210226,0.6138515055823214,-0.6040433089101005
S04,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,-4.228388472693467e-12,5.643874642327321e-10,6.549936374528054e-09,11.612881536819636,3.1980017719396956e-13,numerical-zero,-4.228388472693467e-12,5.643874642327321e-10,6.549936374528054e-09,11.612881536819636,3.1980017719396956e-13
