landscape_id,split,stratum,horizon,region,epsilon_count,kl_residual_sign,kl_quadratic_error_minimum,kl_quadratic_error_median,kl_quadratic_error_maximum,stable_cubic_count,kl_cubic_scale_minimum,kl_cubic_scale_median,kl_cubic_scale_maximum
S03,source,regular-sensitivity,50,stress,2,negative,-1185.1445705775925,-1066.0407789168942,-946.936987256196,2,-31564.566241873203,-21708.00597382456,-11851.445705775926
S04,source,regular-sensitivity,1,confirmatory,3,negative,-0.00042051596622997976,-0.00012631741497320982,-4.212164586329412e-05,3,-0.42121645863294116,-0.42105804991069945,-0.4205159662299797
S04,source,regular-sensitivity,1,extended-local,2,negative,-0.0041370298953037525,-0.002696983519659765,-0.0012569371440157766,2,-0.41897904800525887,-0.41634101876781704,-0.4137029895303752
S04,source,regular-sensitivity,1,stress,2,negative,-0.03574493381241043,-0.023864314003494355,-0.01198369419457828,2,-0.3994564731526094,-0.3784529056383569,-0.3574493381241043
S04,source,regular-sensitivity,5,confirmatory,3,negative,-0.06949364502556818,-0.020969133152073657,-0.007001348551691051,3,-70.01348551691049,-69.89711050691218,-69.49364502556817
S04,source,regular-sensitivity,5,extended-local,2,negative,-0.6477034506343509,-0.4264094618002101,-0.20511547296606938,2,-68.37182432202313,-66.5710846927291,-64.77034506343509
S04,source,regular-sensitivity,5,stress,2,negative,-4.019605290271044,-2.8585883943524752,-1.6975714984339072,2,-56.58571661446358,-48.390884758587006,-40.196052902710434
S04,source,regular-sensitivity,20,confirmatory,3,negative,-3.243541785450104,-0.9904003184017445,-0.33182815724716286,3,-3318.281572471628,-3301.3343946724817,-3243.5417854501034
S04,source,regular-sensitivity,20,extended-local,2,negative,-26.60231207109759,-17.936657102847548,-9.271002134597504,2,-3090.3340448658346,-2875.2826259877966,-2660.2312071097585
S04,source,regular-sensitivity,20,stress,2,negative,-97.03616097150979,-77.32128244286014,-57.606403914210475,2,-1920.213463807016,-1445.2875367610568,-970.3616097150978
S04,source,regular-sensitivity,50,confirmatory,3,negative,-21.13565236464395,-6.552434603233146,-2.2051502278245465,3,-22051.50227824546,-21841.448677443823,-21135.652364643945
S04,source,regular-sensitivity,50,extended-local,2,negative,-148.27939231345493,-103.14973522675402,-58.02007814005308,2,-19340.02604668436,-17083.982639014925,-14827.93923134549
S04,source,regular-sensitivity,50,stress,2,negative,-323.38818169227335,-291.2684724178972,-259.148763143521,2,-8638.292104784035,-5936.086960853385,-3233.8818169227334
S05,source,regular-sensitivity,1,confirmatory,3,negative,-0.0024073867591465825,-0.0007278027087381559,-0.00024314296247845892,3,-2.431429624784589,-2.4260090291271865,-2.4073867591465823
