landscape_id,split,stratum,horizon,epsilon,region,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,K_kl_q_p,kl_q_p,kl_prediction,kl_residual,kl_over_epsilon_squared,kl_over_epsilon_squared_minus_k,kl_relative_residual,kl_residual_over_epsilon_cubed,cubic_normalization_numerically_stable
S01,source,regular-sensitivity,1,0.0001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.13099980983108944,1.3099846056134146e-09,1.3099980983108945e-09,-1.349269747994107e-14,0.13099846056134146,-1.349269747994107e-06,-1.0299784020555825e-05,-0.013492697479941067,True
S01,source,regular-sensitivity,1,0.0003,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.13099980983108944,1.1789617362432231e-08,1.1789982884798048e-08,-3.6552236581634236e-13,0.13099574847146925,-4.061359620181582e-06,-3.100279019807953e-05,-0.013537865400605276,True
S01,source,regular-sensitivity,1,0.001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.13099980983108944,1.3098627731203188e-07,1.3099980983108945e-07,-1.3532519057567186e-11,0.13098627731203188,-1.3532519057567186e-05,-0.00010330182215543636,-0.013532519057567185,True
S01,source,regular-sensitivity,1,0.003,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.13099980983108944,1.1786334980671631e-06,1.178998288479805e-06,-3.6479041264183735e-10,0.13095927756301812,-4.053226807131526e-05,-0.00030940707565589126,-0.013510756023771754,True
S01,source,regular-sensitivity,1,0.01,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.13099980983108944,1.3086546201080719e-05,1.3099980983108945e-05,-1.343478202822559e-08,0.13086546201080718,-0.0001343478202822559,-0.0010255573687891865,-0.013434782028225588,True
S01,source,regular-sensitivity,1,0.03,stress,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.13099980983108944,0.00011754289286471618,0.00011789982884798049,-3.5693598326430446e-07,0.1306032142941291,-0.0003965955369603383,-0.003027451241888876,-0.013219851232011278,True
S01,source,regular-sensitivity,1,0.1,stress,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.13099980983108944,0.001297507181674807,0.0013099980983108947,-1.2490916636087764e-05,0.12975071816748068,-0.0012490916636087761,-0.009535064709020182,-0.01249091663608776,True
S01,source,regular-sensitivity,5,0.0001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.9144771258285203,1.913051345918545e-08,1.9144771258285204e-08,-1.425779909975497e-11,1.913051345918545,-0.0014257799099754971,-0.0007447359337649271,-14.257799099754967,True
S01,source,regular-sensitivity,5,0.0003,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.9144771258285203,1.7191828078944342e-07,1.723029413245668e-07,-3.8466053512338495e-10,1.910203119882705,-0.004274005945815389,-0.0022324664464015184,-14.246686486051297,True
S01,source,regular-sensitivity,5,0.001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.9144771258285203,1.9002693647063133e-06,1.91447712582852e-06,-1.420776112220684e-08,1.9002693647063134,-0.014207761122206841,-0.007421222709076875,-14.20776112220684,True
