landscape_id,role,context,stopped_replications,minimum_expected_cell_count_in_context,analytic_fisher_norm,context_fisher_cosine,joint_fisher_cosine,maximum_coordinate_standard_error,stopped_mean_reproduction_error,final_cosine_reproduction_error
R01,confirmatory-target,0,4096,16.62276640640792,0.4234097776092799,0.9999993175250853,0.9999316161240019,0.0011017666297077427,0.0,0.0
R01,confirmatory-target,1,4096,14.458001732597861,0.3464742660883531,0.9998416299085249,0.9999316161240019,0.0017153648661499341,0.0,0.0
R02,confirmatory-target,0,4096,8.03261750730426,0.38470002987115265,0.999973137279152,0.9999904657416402,0.0008161925555776928,0.0,0.0
R02,confirmatory-target,1,4096,22.163662624294304,0.532997605246422,0.9999999401599976,0.9999904657416402,0.001410531715419598,0.0,0.0
R03,confirmatory-target,0,4096,19.21726543022037,0.7064073066303506,0.9999948728288618,0.9999948439142154,0.0005804923804514256,0.0,0.0
R03,confirmatory-target,1,4096,8.763173280177561,0.2887321246330924,0.9999949596165895,0.9999948439142154,0.0003542989280116278,0.0,0.0
R04,confirmatory-target,0,4096,10.38688396644287,0.3842865421730516,0.9998739143507027,0.9999419992802628,0.002364789236055447,0.0,0.0
R04,confirmatory-target,1,4096,19.27733564346381,0.5752675160545002,0.9999943319969793,0.9999419992802628,0.0008888379029270575,0.0,0.0
R05,confirmatory-target,0,4096,10.812260562697801,0.4762203433545607,0.99995970398173,0.9999673887447627,0.0016419304855806584,0.0,0.0
R05,confirmatory-target,1,4096,14.957344949803574,0.4750036378616545,0.9999893121228092,0.9999673887447627,0.0007142884007407688,0.0,0.0
R06,confirmatory-target,0,4096,13.825377794759731,0.4209917831464806,0.999920376909338,0.9999419197147386,0.0014179058077028485,0.0,0.0
R06,confirmatory-target,1,4096,10.578124076805041,0.39985128392786967,0.9999989665942068,0.9999419197147386,0.0006272149134162225,0.0,0.0
R07,confirmatory-target,0,4096,10.5248640791611,0.4420794741112743,0.9999999846466355,0.9999720344872878,0.0013480263425266791,0.0,0.0
R07,confirmatory-target,1,4096,15.101268464270438,0.5870389471963763,0.9999954552798876,0.9999720344872878,0.0006258645846370884,0.0,0.0
R08,confirmatory-target,0,4096,14.056022116137669,0.4877317575669354,0.9999951621006078,0.9999794470314318,0.0006038215725919878,0.0,0.0
R08,confirmatory-target,1,4096,10.906228164765013,0.36100013445231255,0.9999554231226855,0.9999794470314318,0.0014561050898322255,0.0,0.0
R09,confirmatory-target,0,4096,10.286701870104388,0.43364231888152827,0.9999954694738095,0.9999620149521637,0.0013429120972201635,0.0,0.0
R09,confirmatory-target,1,4096,15.025679605385388,0.4822635140784748,0.9999899260418823,0.9999620149521637,0.0007434373672503533,0.0,0.0
R10,confirmatory-target,0,4096,16.13881261536098,0.7308619162938967,0.9999999785793569,0.9999997246539608,6.233515682889313e-05,0.0,0.0
R10,confirmatory-target,1,4096,11.22548631937218,0.34064443671781247,0.9999985707132447,0.9999997246539608,0.00013617271311362606,0.0,0.0
S01,stress-target,0,4096,37.44635437060998,0.495963881565348,0.9999999220915444,0.9986315178583629,0.0005270629335165373,0.0,0.0
S01,stress-target,1,4096,0.6863001357356037,0.127590101788758,0.9998482279134422,0.9986315178583629,0.006365656154374209,0.0,0.0
S02,stress-target,0,4096,0.5209279537075416,0.21709150238163163,0.5353939027076516,0.4877959976699825,1.2582341799647683,0.0,0.0
S02,stress-target,1,4096,0.2622343183429528,0.10843087829090066,0.8038882199577403,0.4877959976699825,0.035339154910845785,0.0,0.0
S03,stress-target,0,4096,0.25288347581512166,0.193765751987673,0.30527963714098005,0.1786109108059013,0.6910325138115282,0.0,0.0
S03,stress-target,1,4096,0.30947061500900735,0.2753447520818533,0.05569937277874286,0.1786109108059013,0.24724985278420566,0.0,0.0
S04,stress-target,0,4096,33.48373432820183,0.9674732730893708,0.9999999998822484,0.9998452091918543,1.7807308038740204e-05,0.0,0.0
S04,stress-target,1,4096,0.16068749967229845,0.052262049214850954,0.9703839725648382,0.9998452091918543,0.01086840954530479,0.0,0.0
