target_id,family,sample_count,effective_minimum_count,positive_fisher_condition_number,rank_deficient_probability,expected_squared_support_loss,expected_squared_observed_support_perturbation,exact_truth_cosine,observed_truth_cosine,truth_cosine_residual,angular_envelope,full_direction_score,first_half_direction_score,second_half_direction_score,final_half_cosine,dissociation_stratum
F01,rare-context-N16,16,0.36,1.3450502152080348,0.6776885753694956,0.022597824079827793,0.0022258335461278443,0.9962812299963866,0.9962505989232991,3.0631073087428184e-05,0.01748005006540061,0.8882804538401678,0.5740897911329377,0.7707902231474766,0.9999992164119251,False
F02,rare-action-N16,16,0.36,8.473638253974045,0.011434761005270485,0.00030592591721366545,2.603307422370515,0.6490835536015691,0.6492290063069802,0.00014545270541110877,0.011585587290559888,0.5977447165255537,0.12496323219267115,0.9634656154516582,0.9999999378756839,True
F03,rare-context-N32,32,0.72,1.3450502152080348,0.3244336451214564,0.008832697455690913,0.0026870630060845556,0.9996649358538935,0.9996748640973491,9.92824345558141e-06,0.009830704085565838,0.5935402872741861,1.1839116357031485,0.7639895069225363,0.9999997728560359,False
F04,rare-action-N32,32,0.72,8.473638253974045,0.00011936425594509733,3.1503514124227934e-06,1.836794354469255,0.7175013353813471,0.717388637693547,0.0001126976878000896,0.01598403255374272,0.33675155653323746,0.3945838465965791,0.08518645759235077,0.9999999531775786,True
F05,rare-context-N64,64,1.44,1.3450502152080348,0.05693207993431818,0.001274840216752226,0.0018963649547147961,0.9999603438648703,0.9999616707051661,1.3268402957455905e-06,0.00463860470668926,0.9639917507926563,0.6349176400813715,0.7883343070775158,0.9999999768701155,False
F06,rare-action-N64,64,1.44,8.473638253974045,1.4183009806621447e-08,3.7407103704851614e-10,0.8883244323275387,0.8585765083765072,0.8578361533709309,0.000740355005576343,0.020156069165288497,1.1424681926223135,0.5245018936997138,1.1049355086112191,0.9999998119259652,True
F07,rare-context-N128,128,2.88,1.3450502152080348,0.0014398776375410182,2.575253038304191e-05,0.0007086568877183691,0.9999675129501241,0.9999683293033332,8.163532091431946e-07,0.0022029376560635137,0.6213697244852348,1.448092415240128,0.5948684726013713,0.9999998477941305,False
F08,rare-action-N128,128,2.88,8.473638253974045,2.011556666420943e-16,5.3053893988033215e-18,0.21118050366103447,0.9808833999317219,0.9809762055501873,9.280561846536362e-05,0.015009038477710882,0.37366236843455114,0.5459196164861727,1.0636102333405322,0.9999949412757606,False
O01,rare-context-N64-shifted,64,1.44,1.3450502152080348,0.05693207993431818,0.0012748402167522255,1.6755766306184599,0.9608789431600551,0.9609106403919416,3.1697231886562705e-05,0.05142281005785558,0.9093714817805828,1.2680097624190139,0.36476426438014287,0.9999880251307262,False
O02,rare-action-N64-shifted,64,1.44,8.473638253974045,1.4183009806621447e-08,3.740710370485159e-10,81.22241576492273,0.48377746304015207,0.483875704855481,9.82418153289144e-05,0.03465480982484114,0.03822994745129122,0.6939325520087241,0.6665727278009673,0.9999999999902158,True
O03,balanced-N32-centered,32,5.76,1.3528138528138525,3.1416685194142306e-08,1.732969311675573e-09,0.002107316715090381,0.9999967478454347,0.9999967481743393,3.289045702459248e-10,0.0013293674422463469,0.2068704540426087,0.21227465744303803,0.1012668237771906,0.9999999998099113,False
O04,balanced-N32-shifted,32,5.76,1.3528138528138525,3.1416685194142306e-08,1.732969311675572e-09,1.6302452479331515,0.998162167929006,0.9983229419038457,0.0001607739748397119,0.0320724300266606,1.343006362977226,0.7188176782362516,1.241757405847148,0.9999999981308175,False
K01,low-kappa-N32-centered,32,0.6656000000000001,3.730113169540081,0.08903269988988835,0.0011546850162136044,4.288438671219855,0.8813494487068413,0.8806422349960198,0.0007072137108214971,0.01959270511141525,1.2022241671175584,0.034247816903531465,1.7073805833110742,0.9999958897534883,True
K02,high-kappa-N32-centered,32,0.6656000000000001,8.333333333333336,8.312755889967055e-05,2.399006580359178e-06,0.7915213060692654,0.7701930606391542,0.7700720127882796,0.00012104785087452274,0.013651605865786504,0.29134513025391395,1.3231586843413268,0.9111561164510258,0.9999978051740515,True
K03,low-kappa-N64-rotated,64,1.3312000000000002,3.730113169540081,0.007926821326680869,0.00029710563302645047,0.16188478566101058,0.8341678523425772,0.833679304129891,0.0004885482126861795,0.01944931803099778,0.4948077262192609,0.2866396062450265,0.6615384558837581,0.9999997264550129,True
K04,high-kappa-N64-rotated,64,1.3312000000000002,8.333333333333336,3.455085637011984e-09,8.778855204128195e-11,0.35561059928418,0.9090928046921084,0.9098178976677793,0.0007250929756709157,0.014742815160270796,1.6038735379985414,1.5890937294657106,0.6800565794434873,0.999999131522793,False
