target_id,replications,full_direction_score,first_half_direction_score,second_half_direction_score,full_truth_cosine,half_cosine,mean_reproduction_error
F01,8192,0.5646776295724438,1.0612901629131422,0.4137540429070866,0.9960019811392455,0.9999991462002079,0.0
F01,32768,0.29307909392484816,0.46844948307172163,0.596831857169988,0.9961601728524746,0.9999928355227068,0.0
F01,131072,0.5740897911329377,0.24416422173281638,0.6329575782678477,0.9963045498144525,0.9999991894191865,0.0
F01,262144,0.8882804538401678,0.5740897911329377,0.7707902231474766,0.9962505989232991,0.9999992164119251,0.0
F02,8192,0.6367099612777258,0.24864193568028006,0.9208342318436823,0.6511312838413466,0.9999984643137371,0.0
F02,32768,0.5112675049269346,0.48777303593185767,0.30261966831854736,0.6496641997551327,0.9999985655531471,0.0
F02,131072,0.12496323219267115,0.570689458206079,0.7376436177380481,0.649095061792826,0.9999997075504717,0.0
F02,262144,0.5977447165255537,0.12496323219267115,0.9634656154516582,0.6492290063069802,0.9999999378756839,0.0
F03,8192,0.4664320794240378,0.6426914819025294,0.3511002513006386,0.9996354293879536,0.9999809219182817,0.0
F03,32768,0.5524407519041801,0.0815837637722579,0.7779163194307626,0.999636895963828,0.999996783577976,0.0
F03,131072,1.1839116357031485,1.0402012871244026,0.7568532817607919,0.9996662247478696,0.9999991882325656,0.0
F03,262144,0.5935402872741861,1.1839116357031485,0.7639895069225363,0.9996748640973491,0.9999997728560359,0.0
F04,8192,0.8678821489687474,1.5664388420119097,0.3390848947157827,0.7154458519877659,0.9999579265928704,0.0
F04,32768,0.782445951535458,1.9474036063681261,0.8434594381497232,0.7166240955337899,0.9999729910819092,0.0
F04,131072,0.3945838465965791,0.4506177026715146,0.10765578456272884,0.7172820671564393,0.9999999094444023,0.0
F04,262144,0.33675155653323746,0.3945838465965791,0.08518645759235077,0.717388637693547,0.9999999531775786,0.0
F05,8192,2.2247081883137065,2.414134312054409,0.7329057136739611,0.9999572455268873,0.9999999901586729,0.0
F05,32768,0.5371944543451295,0.68794105565145,0.9542158039523244,0.9999539051854239,0.9999989936813672,0.0
F05,131072,0.6349176400813715,0.38274066661404654,0.5707772671844743,0.99996260639532,0.9999999935989059,0.0
F05,262144,0.9639917507926563,0.6349176400813715,0.7883343070775158,0.9999616707051661,0.9999999768701155,0.0
F06,8192,0.22004497249887595,1.4817091234205744,1.3180809096861723,0.857305852274349,0.999638147691496,0.0
F06,32768,0.18847561954464467,1.218568871182954,0.9756308864435714,0.8580796053936175,0.9999330954918179,0.0
F06,131072,0.5245018936997138,0.4783822815574773,0.26362198299817363,0.8579938381953722,0.9999997522595511,0.0
F06,262144,1.1424681926223135,0.5245018936997138,1.1049355086112191,0.8578361533709309,0.9999998119259652,0.0
F07,8192,0.9172745295482341,1.1968159422728026,0.29333563048308176,0.9999676528105232,0.9999995438493222,0.0
F07,32768,0.8915706194579114,0.4236148922991241,1.1964299137760677,0.9999707124726508,0.9999999870827438,0.0
F07,131072,1.448092415240128,1.2947597093818908,0.9455257900209516,0.9999704871192595,0.9999999367296387,0.0
F07,262144,0.6213697244852348,1.448092415240128,0.5948684726013713,0.9999683293033332,0.9999998477941305,0.0
F08,8192,1.403569332771884,0.6817939297594415,1.3155090808434087,0.9788899214298411,0.9999872588971528,0.0
F08,32768,0.4256277426422803,1.0366407138380611,1.618581886832849,0.9811206782424176,0.9999111550272984,0.0
F08,131072,0.5459196164861727,0.6906492245399244,1.399280621952311,0.9806664043271464,0.9999878092152844,0.0
F08,262144,0.37366236843455114,0.5459196164861727,1.0636102333405322,0.9809762055501873,0.9999949412757606,0.0
O01,8192,0.8489171742763636,0.10648097794315226,1.2839355693285777,0.9613422519145484,0.9999546383078353,0.0
O01,32768,0.8524603335531314,0.6919958704501793,0.6268005992491459,0.9596370903031174,0.9999438225831981,0.0
O01,131072,1.2680097624190139,1.5467653031690387,0.43084731481997196,0.9602274785850007,0.9999951004011302,0.0
O01,262144,0.9093714817805828,1.2680097624190139,0.36476426438014287,0.9609106403919416,0.9999880251307262,0.0
O02,8192,1.70391052241486,1.2873925119460456,1.127881171992492,0.48722450139618767,0.9999868942743289,0.0
O02,32768,2.303823645595752,1.719812515887799,1.5383274361450656,0.48631942291582786,0.9999998446599959,0.0
O02,131072,0.6939325520087241,0.34046589818634665,0.6412066007553613,0.4838737628815816,0.9999999743553525,0.0
O02,262144,0.03822994745129122,0.6939325520087241,0.6665727278009673,0.483875704855481,0.9999999999902158,0.0
O03,8192,0.7165322216812402,0.2739216287680835,0.982388205476128,0.999995338369988,0.9999997749480543,0.0
O03,32768,0.17731131680918868,0.3405387483878051,0.4904278627045406,0.9999969154238312,0.9999999685183679,0.0
O03,131072,0.21227465744303803,0.23290324440230084,0.1271235288573839,0.9999967232642355,0.9999999984268542,0.0
O03,262144,0.2068704540426087,0.21227465744303803,0.1012668237771906,0.9999967481743393,0.9999999998099113,0.0
O04,8192,0.49060281340010803,0.2933467874307801,0.6142337348463521,0.9986543026601762,0.9999376878865764,0.0
O04,32768,0.6317503120882041,0.6437692381156161,0.5683429496875391,0.9980079173889883,0.9999627730989293,0.0
O04,131072,0.7188176782362516,0.8314990791145346,1.598763697113305,0.9983247083827649,0.9999866157561197,0.0
O04,262144,1.343006362977226,0.7188176782362516,1.241757405847148,0.9983229419038457,0.9999999981308175,0.0
K01,8192,0.5368906960452452,0.6830385633276108,1.2497384015559323,0.8789271005555322,0.9999482067079872,0.0
K01,32768,0.4600691464904877,0.8401509409844473,0.5819058548202589,0.8802411133842025,0.9999722894310286,0.0
K01,131072,0.034247816903531465,0.42440040219573694,0.42767894921815774,0.8813217901191353,0.999997029765431,0.0
K01,262144,1.2022241671175584,0.034247816903531465,1.7073805833110742,0.8806422349960198,0.9999958897534883,0.0
K02,8192,1.2765147478765448,1.651107193274393,0.15589268722909752,0.7733133107561879,0.9999696917353946,0.0
K02,32768,0.149204443693188,0.8009131394488411,0.5911501443512288,0.7704156258882712,0.9999922433930909,0.0
K02,131072,1.3231586843413268,0.8558365237440271,1.0155433856781797,0.7694045323858197,0.9999999645161051,0.0
K02,262144,0.29134513025391395,1.3231586843413268,0.9111561164510258,0.7700720127882796,0.9999978051740515,0.0
K03,8192,0.2091904514525727,0.12988242408135217,0.2860600064490272,0.8329869686613285,0.9999898530121374,0.0
