target_id,family,model,particle_count,exact_truth_cosine,observed_truth_cosine,truth_cosine_residual,angular_envelope,full_direction_score,first_half_direction_score,second_half_direction_score,final_half_cosine,dissociation_stratum,missing_state_0_probability,missing_state_1_probability,missing_state_2_probability,full_support_probability
A01,A-correct-N3,A,3,0.9563334267210332,0.956740844784586,0.0004074180635528224,0.07368446387587592,1.0888853798912823,0.29544643519603186,1.2668062987792372,0.999992861203325,False,0.4506389621324429,0.3185455339389018,0.7484402883979635,0.017260879575324038
A02,A-correct-N4,A,4,0.9767101031558993,0.977427070046168,0.0007169668902686777,0.06461716465757034,1.1543158689583886,0.9601715431968141,0.7251836559525511,0.9999910911076042,False,0.35890233541454947,0.23031863033043762,0.6997601175656936,0.06883131106598867
A03,A-correct-N6,A,6,0.9901734446411726,0.9905996406743672,0.00042619603319460353,0.053443738237331666,0.8821846286352905,0.4359147605449548,0.8701770751906062,0.999991021132787,False,0.22586840731545915,0.11967296720359646,0.6083049357758107,0.2101681204813932
A04,A-correct-N8,A,8,0.9945978454427876,0.9946649665959316,6.71211531440008e-05,0.04661353063861005,0.18311897221208712,1.3968541964090795,1.3629900149129903,0.9999574830494272,False,0.14174800288765213,0.062018967185136734,0.5274214602023901,0.3454985208202707
A05,A-reversed-N3,A,3,0.39793466401665645,0.3995354189012246,0.0016007548845681785,0.03783559734541189,0.9434722276518605,1.574499245468609,1.587199972357667,0.9999153534041038,False,0.6641282743579395,0.2888110682475718,0.5593500135351952,0.017058347215672037
A06,A-reversed-N4,A,4,0.37854248063537804,0.3789702232280476,0.0004277425926695333,0.03166499137758355,0.2886252052507244,1.0135959637964571,0.636057608684735,0.9999993312100651,True,0.6091898569683069,0.20027860805927877,0.46840355806945133,0.07140930526180542
A07,A-reversed-N6,A,6,0.3570920309564352,0.3575331280393854,0.00044109708295020367,0.0250939168810464,0.6442994883898561,0.26432579479600127,1.1368578810072296,0.9999970681904938,True,0.5075989939482132,0.09620269147497956,0.3269740075300929,0.22820811051687048
A08,A-reversed-N8,A,8,0.34564591337455675,0.34490678566568583,0.0007391277088709125,0.021459226255473408,0.4303234851106738,0.9851571238076392,0.901489504483935,0.9999943485911748,True,0.4209417588352999,0.04620475683148046,0.22785895421247154,0.38104605195393393
A09,A-flat-N4,A,4,0.5121177079021535,0.51117472353134,0.0009429843708135266,0.06649555737929162,0.28699528754258646,0.729278452942043,1.0685600316054378,0.9998853677722118,False,0.4044943543732284,0.24981656975368055,0.5300028686880399,0.10352019306330286
A10,A-flat-N8,A,8,0.512117707902152,0.5082799660814459,0.0038377418207061753,0.049241336800554536,1.0516930497848216,0.7860956325581877,1.079475802308898,0.9999836494996588,False,0.18356345749779981,0.07303415283054852,0.3022102305933423,0.4847007248156095
A11,A-missing-final-N4,A,4,0.608497416778353,0.603368356425493,0.005129060352859982,0.05706189814634243,1.1649455102019948,0.7210823220530747,1.815368506776592,0.9999024898084493,False,0.4240751998961281,0.2278663314749373,0.5581192094396947,0.09593628019105147
A12,A-missing-final-N8,A,8,0.5899398227044248,0.5904015001123487,0.00046167740792391054,0.03965452092905634,0.3852889820405098,0.1846056452816779,0.6220005173517356,0.9999999014137997,False,0.20617259170100358,0.05945856995617408,0.3266755021366131,0.45953862483230423
B01,B-correct-N4,B,4,0.9886525055212013,0.9865860889956171,0.002066416525584258,0.1298122301766829,1.2605178130537367,1.5315869345882616,1.3706750464160475,0.9997146419904448,False,0.5457980626594016,0.20823917180725396,0.48987552055762734,0.07775768686826838
B02,B-reversed-N4,B,4,-0.8394484749573201,-0.8478119142841236,0.008363439326803501,0.12298003789258873,1.3702414917285084,1.2766149256972155,0.805740987633771,0.9999830755467393,False,0.4386531383270199,0.20712065444044747,0.5971867575683236,0.07853949153071164
B03,B-flat-N4,B,4,-0.5344525967982334,-0.5288796761458675,0.00557292065236592,0.6101192533622635,0.32294774582401337,1.052415859234313,0.6657189607715853,0.9956680391006136,False,0.4290238614016185,0.22729652087681934,0.4857705414695783,0.11820931361064571
B04,B-missing-final-N4,B,4,-0.9999368116977938,-0.9997973360222147,0.0001394756755791482,0.13351442560956991,0.7106292091746903,1.251588810103949,0.2480617809387484,0.9996481046318002,False,0.3724974574366434,0.2304243610597036,0.570705570836538,0.10627571418166178
