epsilon,region,landscape_count,second_order_improvement_count,second_order_median_relative_error,second_order_maximum_relative_error
0.0001,numerical-control,16,16,1.9423117582028962e-07,1.0587613871905705e-06
0.0003,numerical-control,16,16,1.7469854785016858e-06,9.533851517342286e-06
0.001,confirmatory,16,16,1.9368822822500735e-05,0.00010613185902602007
0.003,confirmatory,16,16,0.0001732566718826328,0.0009607843277044446
0.01,confirmatory,16,16,0.0019657476987589772,0.010956883593698733
0.03,stress,16,16,0.019429726945396686,0.11270285301890927
0.1,stress,16,13,0.28922435017839215,2.7729759805109766
