epsilon,mean_delta,std_delta,min_delta,median_delta,max_delta,seed_count
0.0,0.0,0.0,0.0,0.0,0.0,1
0.002,0.0177267912093039,0.0,0.0177267912093039,0.0177267912093039,0.0177267912093039,1
0.01,0.07839314463339053,0.0,0.07839314463339053,0.07839314463339053,0.07839314463339053,1
0.05,0.22638418691628265,0.0,0.22638418691628265,0.22638418691628265,0.22638418691628265,1
