landscape_id,split,stratum,horizon,first_order_l1_coefficient,second_order_l1_coefficient,zero_first_derivative_coordinates,zero_first_derivative_coordinate_count,second_derivative_l1_norm,state_oracle_max_absolute_error,first_oracle_max_absolute_error,second_oracle_max_absolute_error
S01,source,regular-sensitivity,1,0.447295975280539,0.0,[],0,0.0,2.220446049250313e-16,4.440892098500626e-15,2.2737367544323206e-13
S01,source,regular-sensitivity,5,1.7057443238824315,-6.134531296569922,[],0,12.269062593139845,2.220446049250313e-16,4.440892098500626e-15,2.2737367544323206e-13
S01,source,regular-sensitivity,20,1.6178839578693451,31.917206708380654,[],0,63.83441341676131,2.220446049250313e-16,4.440892098500626e-15,2.2737367544323206e-13
S01,source,regular-sensitivity,50,21.689411307414396,-188.21456553667446,[],0,376.4291310733489,2.220446049250313e-16,4.440892098500626e-15,2.2737367544323206e-13
S02,source,regular-sensitivity,1,0.01254900895379285,0.0,[],0,0.0,3.3306690738754696e-16,1.3322676295501878e-15,1.7763568394002505e-14
S02,source,regular-sensitivity,5,0.19365382852136104,-0.08583866074188085,[],0,0.21762372398133373,3.3306690738754696e-16,1.3322676295501878e-15,1.7763568394002505e-14
S02,source,regular-sensitivity,20,2.5537390387812984,-4.611452027215641,[],0,12.658985142227714,3.3306690738754696e-16,1.3322676295501878e-15,1.7763568394002505e-14
S02,source,regular-sensitivity,50,8.127397814572994,-18.693096394658102,[],0,71.94765312552094,3.3306690738754696e-16,1.3322676295501878e-15,1.7763568394002505e-14
S03,source,regular-sensitivity,1,0.736128431726147,0.0,[],0,0.0,3.3306690738754696e-16,6.217248937900877e-15,3.979039320256561e-13
S03,source,regular-sensitivity,5,3.680524581586109,-7.2399170012986565,[],0,14.479834002597313,3.3306690738754696e-16,6.217248937900877e-15,3.979039320256561e-13
S03,source,regular-sensitivity,20,14.686808254627987,-130.61246627182072,[],0,261.22493254364144,3.3306690738754696e-16,6.217248937900877e-15,3.979039320256561e-13
S03,source,regular-sensitivity,50,36.19249854312967,-750.9208157622612,[],0,1501.8416315245224,3.3306690738754696e-16,6.217248937900877e-15,3.979039320256561e-13
S04,source,regular-sensitivity,1,0.5294438569592275,0.0,[],0,0.0,1.6653345369377348e-16,7.105427357601002e-15,2.2737367544323206e-13
S04,source,regular-sensitivity,5,2.6816143341546557,-3.34028362798282,[],0,6.68056725596564,1.6653345369377348e-16,7.105427357601002e-15,2.2737367544323206e-13
S04,source,regular-sensitivity,20,9.888674129278309,-77.8750008375737,[],0,155.7500016751474,1.6653345369377348e-16,7.105427357601002e-15,2.2737367544323206e-13
S04,source,regular-sensitivity,50,20.085123220194472,-530.9415247879889,[],0,1061.8830495759778,1.6653345369377348e-16,7.105427357601002e-15,2.2737367544323206e-13
S05,source,regular-sensitivity,1,0.44713082550447797,0.0,[],0,0.0,3.3306690738754696e-16,2.7533531010703882e-14,3.0269120543380268e-12
S05,source,regular-sensitivity,5,2.4188501939298366,-1.5900058919764457,[],0,5.090122769961817,3.3306690738754696e-16,2.7533531010703882e-14,3.0269120543380268e-12
S05,source,regular-sensitivity,20,12.731449866302427,-65.54642577914228,[],0,171.6454619873582,3.3306690738754696e-16,2.7533531010703882e-14,3.0269120543380268e-12
S05,source,regular-sensitivity,50,51.6102896557736,-1558.0526917783313,[],0,3363.1825699800283,3.3306690738754696e-16,2.7533531010703882e-14,3.0269120543380268e-12
S06,source,regular-sensitivity,1,0.23333333333333334,0.0,[],0,0.0,0.0,6.217248937900877e-15,2.5579538487363607e-13
S06,source,regular-sensitivity,5,1.1666666666666667,-1.3000000000000003,[],0,2.6000000000000005,0.0,6.217248937900877e-15,2.5579538487363607e-13
S06,source,regular-sensitivity,20,4.66666666666667,-24.700000000000017,[],0,49.400000000000034,0.0,6.217248937900877e-15,2.5579538487363607e-13
S06,source,regular-sensitivity,50,11.66666666666667,-159.25000000000023,[],0,318.50000000000045,0.0,6.217248937900877e-15,2.5579538487363607e-13
S07,source,regular-sensitivity,1,0.3328198199901298,0.0,[],0,0.0,2.7755575615628914e-16,6.217248937900877e-15,5.115907697472721e-13
S07,source,regular-sensitivity,5,1.6677192828602525,-3.3622684225324813,[],0,6.7245368450649625,2.7755575615628914e-16,6.217248937900877e-15,5.115907697472721e-13
S07,source,regular-sensitivity,20,6.664188435156811,-65.34941527323912,[],0,130.69883054647823,2.7755575615628914e-16,6.217248937900877e-15,5.115907697472721e-13
S07,source,regular-sensitivity,50,15.857501875048406,-421.86014888760144,[],0,843.7202977752029,2.7755575615628914e-16,6.217248937900877e-15,5.115907697472721e-13
S08,source,regular-sensitivity,1,1.0626488487478591,0.0,[],0,0.0,2.220446049250313e-16,7.105427357601002e-15,7.958078640513122e-13
S08,source,regular-sensitivity,5,4.982192459666486,-16.341385466197103,[],0,32.682770932394206,2.220446049250313e-16,7.105427357601002e-15,7.958078640513122e-13
S08,source,regular-sensitivity,20,12.601610872340792,-187.3806109123692,[],0,422.7920170262491,2.220446049250313e-16,7.105427357601002e-15,7.958078640513122e-13
S08,source,regular-sensitivity,50,27.815712561163913,-380.0726327656589,[],0,849.5257463729517,2.220446049250313e-16,7.105427357601002e-15,7.958078640513122e-13
S09,source,regular-sensitivity,1,0.3831445040706417,0.0,[],0,0.0,1.1102230246251565e-16,1.7763568394002505e-15,3.552713678800501e-14
S09,source,regular-sensitivity,5,1.8193962822118634,-1.5275322654014256,[],0,3.0550645308028512,1.1102230246251565e-16,1.7763568394002505e-15,3.552713678800501e-14
S09,source,regular-sensitivity,20,5.532251707330355,-15.216973032214014,[],0,30.433946064428028,1.1102230246251565e-16,1.7763568394002505e-15,3.552713678800501e-14
S09,source,regular-sensitivity,50,7.854930208506198,-11.240983625309575,[],0,58.400475434431,1.1102230246251565e-16,1.7763568394002505e-15,3.552713678800501e-14
S10,source,regular-sensitivity,1,0.8801337112910117,0.0,[],0,0.0,1.1102230246251565e-16,1.0658141036401503e-14,4.547473508864641e-13
S10,source,regular-sensitivity,5,4.329687435215517,-5.006544124882553,[],0,11.685834537074413,1.1102230246251565e-16,1.0658141036401503e-14,4.547473508864641e-13
S10,source,regular-sensitivity,20,16.455415247612244,-89.66168364172151,[],0,210.50814741521947,1.1102230246251565e-16,1.0658141036401503e-14,4.547473508864641e-13
S10,source,regular-sensitivity,50,38.44020190207137,-544.7675109805227,[],0,1262.7475339456375,1.1102230246251565e-16,1.0658141036401503e-14,4.547473508864641e-13
S11,source,regular-sensitivity,1,0.01665972598167903,0.0,[],0,0.0,2.220446049250313e-16,3.1086244689504383e-15,2.4868995751603507e-14
S11,source,regular-sensitivity,5,0.25351544766357514,-0.1244187702382394,[],0,0.2653887681731574,2.220446049250313e-16,3.1086244689504383e-15,2.4868995751603507e-14
S11,source,regular-sensitivity,20,3.007548228010177,-5.653613336854747,[],0,14.54583262094436,2.220446049250313e-16,3.1086244689504383e-15,2.4868995751603507e-14
S11,source,regular-sensitivity,50,8.235579860443863,-20.402073609308772,[],0,71.33551034528172,2.220446049250313e-16,3.1086244689504383e-15,2.4868995751603507e-14
S12,source,regular-sensitivity,1,0.16513946324558954,0.0,[],0,0.0,2.220446049250313e-16,8.881784197001252e-16,1.5987211554602254e-14
S12,source,regular-sensitivity,5,0.6861551110756858,-0.8266479520493234,[],0,1.705107529344666,2.220446049250313e-16,8.881784197001252e-16,1.5987211554602254e-14
S12,source,regular-sensitivity,20,0.7516119506864213,-0.012695531441663466,[],0,13.170368606452115,2.220446049250313e-16,8.881784197001252e-16,1.5987211554602254e-14
S12,source,regular-sensitivity,50,7.157227687307666,-15.756967842414934,[],0,37.8568746135141,2.220446049250313e-16,8.881784197001252e-16,1.5987211554602254e-14
S13,source,analytic-zero,1,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
S13,source,analytic-zero,5,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
S13,source,analytic-zero,20,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
S13,source,analytic-zero,50,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
S14,source,low-sensitivity,1,9.894972513241147e-14,0.0,[1],1,0.0,1.1102230246251565e-16,2.433113800317447e-17,1.785901861794667e-28
S14,source,low-sensitivity,5,4.851131766223334e-13,-2.9579762359904793e-25,[],0,5.915952471980959e-25,1.1102230246251565e-16,2.433113800317447e-17,1.785901861794667e-28
S14,source,low-sensitivity,20,1.7895488687766888e-12,-5.421846916893956e-24,[],0,1.0843693833787911e-23,1.1102230246251565e-16,2.433113800317447e-17,1.785901861794667e-28
S14,source,low-sensitivity,50,3.657150675069549e-12,-3.1507462519492597e-23,[],0,6.301492503898519e-23,1.1102230246251565e-16,2.433113800317447e-17,1.785901861794667e-28
T01,target,regular-sensitivity,1,0.07472514836433938,0.0,[],0,0.0,3.3306690738754696e-16,1.7763568394002505e-15,3.552713678800501e-14
T01,target,regular-sensitivity,5,0.4758777048520966,-0.506925864681437,[],0,1.013851729362874,3.3306690738754696e-16,1.7763568394002505e-15,3.552713678800501e-14
T01,target,regular-sensitivity,20,2.668202301435618,-7.478578478948617,[],0,14.957156957897235,3.3306690738754696e-16,1.7763568394002505e-15,3.552713678800501e-14
T01,target,regular-sensitivity,50,7.907868140669987,-23.948586837413018,[],0,47.897173674826035,3.3306690738754696e-16,1.7763568394002505e-15,3.552713678800501e-14
T02,target,regular-sensitivity,1,0.25112424316991555,0.0,[],0,0.0,2.220446049250313e-16,5.329070518200751e-15,5.684341886080802e-14
