landscape_id,replications,mean_half_fisher_cosine,covariance_half_fisher_cosine,maximum_half_cosine_reproduction_error
G01,4096,0.9997382216675761,0.9957503775423092,0.0
G02,4096,0.9999480574571149,0.9993680732173588,0.0
G03,4096,0.9999360706342656,0.9997963768380965,0.0
G04,4096,0.9999893745074202,0.9995675146851178,0.0
G05,4096,0.99995421026066,0.9983872263603942,0.0
G06,4096,0.9999923439130796,0.9998579660873754,0.0
G07,4096,0.999997687723707,0.999828956597391,0.0
G08,4096,0.9999076000276997,0.9988806436232185,0.0
G09,4096,0.9999913647236365,0.9999007890851351,0.0
G10,4096,0.9999885715794696,0.999906939222956,0.0
G11,4096,0.9999999433108706,0.9990861618849992,0.0
G12,4096,0.9999866315176383,0.9997252838337108,0.0
