landscape_id,block,count,q10,median,q90,fraction_positive,summary_reproduction_error
G01,mean,2048,0.8547812612557637,0.9538113025228792,0.993867193199395,1.0,0.0
G01,covariance,2048,-0.24882572861090613,0.552622469514475,0.8835783628777205,0.84130859375,0.0
G02,mean,2048,0.8546708819783406,0.9564467967329466,0.9935688817311251,1.0,0.0
G02,covariance,2048,-0.24332881265488757,0.5432116202150887,0.8919426009548674,0.8466796875,0.0
G03,mean,2048,0.8536144197902326,0.9539298078919227,0.9936288564910095,1.0,0.0
G03,covariance,2048,-0.22941222870425493,0.5740168430581635,0.90310555417425,0.8427734375,0.0
G04,mean,2048,0.8465254105099499,0.9530759417643984,0.9931571172627995,1.0,0.0
G04,covariance,2048,-0.12962121851191444,0.7168815826986523,0.9605224586908395,0.8671875,0.0
G05,mean,2048,0.853545136985038,0.9561109643972584,0.9933844816900828,1.0,0.0
G05,covariance,2048,-0.11271141023210375,0.6817152166434408,0.9479296840565121,0.87939453125,0.0
G06,mean,2048,0.8557075767803243,0.953454127868923,0.9929017601272622,1.0,0.0
G06,covariance,2048,-0.15744502660743892,0.6188066219019983,0.9294624030829363,0.8671875,0.0
G07,mean,2048,0.8536673017221753,0.9538462489287043,0.9923911344146148,1.0,0.0
G07,covariance,2048,-0.11352623251826814,0.7161209042932237,0.9621592728029612,0.8720703125,0.0
G08,mean,2048,0.8508747099615833,0.9552967015187284,0.9929642382739252,1.0,0.0
G08,covariance,2048,-0.19988444441745581,0.6098299844880333,0.9212574249823422,0.84765625,0.0
G09,mean,2048,0.8541809630060211,0.957030351149077,0.9936532889412498,1.0,0.0
G09,covariance,2048,-0.23946565719434695,0.5338286250140737,0.8819432466251611,0.84130859375,0.0
G10,mean,2048,0.8601771880282303,0.9555708402380432,0.9930850119471878,1.0,0.0
G10,covariance,2048,-0.2020648083810473,0.632652596757633,0.9299099832251982,0.853515625,0.0
G11,mean,2048,0.8579205349475929,0.9553453670448429,0.9935319142132181,1.0,0.0
G11,covariance,2048,-0.23373832640393413,0.5924628861768322,0.9137960167320304,0.84814453125,0.0
G12,mean,2048,0.8565244928839975,0.9551934798219812,0.993449784506628,1.0,0.0
G12,covariance,2048,-0.15679637857568868,0.6887308073104698,0.9542861912160086,0.86474609375,0.0
