landscape_id,stopped_replications,mean_fisher_cosine,covariance_fisher_cosine,joint_fisher_cosine,maximum_coordinate_standard_error,stopped_mean_reproduction_error,final_cosine_reproduction_error
G01,4096,0.9999903998889611,0.9998887239689633,0.9999796822214605,0.006431099368549781,0.0,0.0
G02,4096,0.9999947144795629,0.9999912286796091,0.9999795224354672,0.005744327247041329,0.0,0.0
G03,4096,0.9999957594031149,0.9998573038904258,0.9999702256826184,0.006419696972923644,0.0,0.0
G04,4096,0.999996254746713,0.9998364618115514,0.9999388362478072,0.00683732979207868,0.0,0.0
G05,4096,0.9999939877415264,0.999954425318771,0.9999742165891321,0.007490362563424528,0.0,0.0
G06,4096,0.99997282336456,0.9997713058912167,0.9999379889977104,0.006608112530714797,0.0,0.0
G07,4096,0.9999523237518517,0.9998851547059011,0.9998914084875838,0.0069903366456469645,0.0,0.0
G08,4096,0.9999823246542906,0.9995521999195026,0.9999258922775771,0.00644105313752917,0.0,0.0
G09,4096,0.999998353789241,0.9998912043038872,0.9999742327406587,0.007954891354111893,0.0,0.0
G10,4096,0.999997587776993,0.9999442858883759,0.999985695389779,0.006366865452129783,0.0,0.0
G11,4096,0.9999885060339768,0.9999339733758588,0.9999711354194262,0.007152195089504563,0.0,0.0
G12,4096,0.999964285088536,0.9997922940137141,0.9999358869104067,0.007344021720184901,0.0,0.0
